nome;insc;org;sitio;detalhes;imagem;link;datai;dataf;horain;horaf;topico;nivel
Análise de Sobrevivência na Presença de Riscos Competitivos;0;Faculdade de Ciências da Universidade de Lisboa;Sala 8.2.10, FCUL;Em estudos clínicos, e no estudo de sobrevivência de doentes, é usual a identificação de eventos suscetíveis de serem riscos competitivos de um determinado evento de interesse. Por exemplo, doentes renais crónicos que utilizam a diálise peritoneal como técnica de substituição da função renal podem experienciar um dos três seguintes eventos: morte em diálise peritoneal, transferência para hemodiálise ou transplante renal. Assim, para cada doente, apenas é possível observar o tempo até à ocorrência do primeiro evento a ocorrer. Com recurso a este exemplo clínico real, apresentaremos neste seminário os conceitos gerais da análise de sobrevivência na presença de riscos competitivos bem como alguns modelos de regressão desenvolvidos para abordar esta temática. ;https://ciencias.ulisboa.pt/sites/default/files/Ciencias_Logo_Azul-02.png;https://ciencias.ulisboa.pt/pt/evento/24-05-2016/an%C3%A1lise-de-sobreviv%C3%AAncia-na-presen%C3%A7a-de-riscos-competitivos;24/05/2016;24/05/2016;14:30;15:30;Medicina;4
Química, fraude e impostos: laboratórios aduaneiros na Península Ibérica;0;Faculdade de Ciências da Universidade de Lisboa;Sala 8.2.03, FCUL;Os laboratórios aduaneiros tiveram um importante papel na análise, controle e regulação de mercadorias desde meados do século XIX. Estes espaços científicos, localizados no serviço de alfândega, contribuíam significativamente para aumentar a receita do Estado e proteger os interesses industriais e comerciais nacionais. O trabalho dos seus membros está localizado entre química, economia e legislação, pelo que pode ser estudado a partir de muitos pontos de vista. Este seminário vai-se focar nos laboratórios aduaneiros portugueses entre as décadas de 1880 e 1930. Algumas das questões analisadas são: a importância da localização destes laboratórios, as características dos químicos, cientistas e outros peritos que neles trabalhavam e as suas relações com professores, assistentes, técnicos, burocratas, comerciantes e públicos, e também com outras instituições. Além disso, o projeto estuda o tipo de análises, reconhecimentos e trabalhos feitos no laboratório da alfândega de Lisboa e a sua utilidade económica e social. Finalmente, o projeto presta atenção à cultura material destes laboratórios e considera o património e coleções de instrumentos científicos que ainda existem.;https://ciencias.ulisboa.pt/sites/default/files/Ciencias_Logo_Azul-02.png;https://ciencias.ulisboa.pt/pt/evento/25-05-2016/qu%C3%ADmica-fraude-e-impostos-laborat%C3%B3rios-aduaneiros-na-pen%C3%ADnsula-ib%C3%A9rica;25/05/2016;25/05/2016;14:00;16:00;Química;4
The Web-of-Life - An Evolutionary Stimulus in Changing Environments?;0;Faculdade de Ciências da Universidade de Lisboa;"Anfiteatro, Fundação da FCUL, Lisboa
";"Distinguished Research Professor, Department of Genetics, University of Georgia, Athens, Georgia, USA

“One of the most spectacular facets of the newer studies of evolution has been the demonstration that evolution has not proceeded by slow, even steps but that seen in the large there have been bursts of creative activity.” With this provocative statement, Anderson and Stebbins (1954) began their description of Hybridization as an Evolutionary Stimulus. Their arguments concerning the role of natural hybridization in promoting evolutionary innovations emphasized the catalyst of genetic admixture leading to introgressed genomes and hybrid species. In particular, they predicted that recombination between divergent genomes had provided the material necessary for natural selection to rapidly produce novel phenotypes capable of invading the niches opened during climatic perturbations. In this seminar, I will consider “climate change” to include environmental fluctuations caused by climatic shifts or by dispersal to a different habitat regime; it includes both micro- and macro-habitat modifications. This broadened definition is chosen intentionally in order to reflect how temporally- and geographically- widespread climate change has been and thus how often it catalyzes evolutionary innovations through associated genetic exchange. In addition to the conceptual breadth provided by this definition, I will highlight the organismic diversity reflecting genetic admixture during climate perturbations by discussing examples from across different domains of life. Using a diversity of clades I will thus illustrate the creative outcomes of genetic admixture associated with climatic shifts, including adaptive evolutionary change and biodiversification (as reflected by the origin of single evolutionary lineages as well as entire adaptive radiations).";https://ciencias.ulisboa.pt/sites/default/files/Ciencias_Logo_Azul-02.png;https://ciencias.ulisboa.pt/pt/evento/25-05-2016/web-life-evolutionary-stimulus-changing-environments;25/05/2016;25/05/2016;14:00;15:00;Biologia;4
Patterns of evolution and diversification within the Macaronesian biodiversity hotspot;0;Faculdade de Ciências da Universidade de Lisboa;Anfiteatro, Fundação da FCUL;"Understanding why island ecosystems are so species-rich has long been one of the
central questions in ecology and evolutionary biology. The Macaronesian Islands (i.e.
Azores, Madeira, Savage, Canaries, Cape Verde) exhibit many distinctive characteristics
including a high degree of endemism, and so are ideal for studying evolutionary and
ecological processes at various spatial and temporal scales. Sharing knowledge and
discussingideasonthestateoftheartresearchontheMacaronesianIslands–aresome
of the key features of this workshop, organized in the framework of the FCT project -
PTDC/BIA-BIC/4113/2012 “
Conservation of plant biodiversity in the Macaronesian
Hotspot: Integrating phylogenetic, taxonomic, and ecological approaches to study the
Cape Verde endemic flora""";https://ciencias.ulisboa.pt/sites/default/files/fcul/eventos/ce3c-bioisi-27mai16.jpg;https://ciencias.ulisboa.pt/en/node/6849;27/05/2016;27/05/2016;10:00;13:00;Biologia;4
Parter vertices and Parter sets;0;Faculdade de Ciências da Universidade de Lisboa;Sala 6.2.33, FCUL;"Henrique Cruz
Universidade da Beira Interior

Abstract: Given an Hermitian matrix, whose graph is a tree, having a multiple eigenvalue $\lambda$, the Parter-Wiener theorem guarantees the existence of principal submatrices for which the multiplicity of $\lambda$ increases. The vertices of the tree whose removal give rise to these principal submatrices are called weak Parter vertices and with some additional conditions are called Parter vertices. A set of $k$ Parter vertices whose removal increase the multiplicity of $\lambda$ by $k$ is called Parter set. As observed by several authors a set of Parter vertices is not necessarily a Parter set. In this talk we present some results on Parter vertices and on Parter sets. We prove that if $A$ is a symmetric matrix, whose graph is a tree, and $\lambda$ is an eigenvalue of $A$ whose multiplicity does not exceed $3$, then every set of Parter vertices, for $\lambda$ relative to $A$, is also a Parter set. We also present an upper and a lower bound of the number of weak Parter vertices, for an eigenvalue $\lambda$ of a matrix $A$ whose graph is a tree, with the assumption that $\lambda$ has maximum multiplicity.
This is a joint work with Rosário Fernandes.

Seminário financiado por Fundos Nacionais através da FCT – Fundação para a Ciência e Tecnologia no âmbito do projeto UID/MAT/04721/2013.
";https://ciencias.ulisboa.pt/sites/default/files/Ciencias_Logo_Azul-02.png;https://ciencias.ulisboa.pt/pt/evento/27-05-2016/parter-vertices-and-parter-sets;27/05/2016;27/05/2016;15:00;16:00;Matemática;4
Crossed modules and 2-dimensional homotopy invariants of knotted surfaces in the 4-sphere;0;Faculdade de Ciências da Universidade de Lisboa;Sala 6.2.33, FCUL;"João Faria Martins
CMA e FCT/UNL

Abstract: Motivated by recently discovered connections to topological phases of matter of condensed matter Physics / topological quantum computing, I will describe work I have done some years ago oninvariants of knotted surfaces embedded in the 4-sphere derived from finite crossed modules. I will also report on oneiric (at this moment) extensions of this framework to Lie crossed modules invariants of knotted surfaces, to be addressed in the realm of gerbes and categorified BF-theories.

This seminar is supported by National Funding from FCT - Fundação para a Ciência e a Tecnologia, under the project: UID/MAT/04561/2013.
";https://ciencias.ulisboa.pt/sites/default/files/Ciencias_Logo_Azul-02.png;https://ciencias.ulisboa.pt/pt/evento/27-05-2016/crossed-modules-and-2-dimensional-homotopy-invariants-knotted-surfaces-4-sphere;27/05/2016;27/05/2016;13:30;15:00;Matemática;4
Seminários CEMAT-Ciências;0;Faculdade de Ciências da Universidade de Lisboa;Sala 6.2.33, FCUL;A Munn tree type representation for the bifree locally inverse semigroup;https://ciencias.ulisboa.pt/sites/default/files/Ciencias_Logo_Azul-02.png;https://ciencias.ulisboa.pt/pt/evento/30-05-2016/semin%C3%A1rios-cemat-ci%C3%AAncias;30/05/2016;30/05/2016;15:30;17:30;Matemática;4
Euclid Consortium Meeting 2016 - Mapping the geometry of the dark universe;0;Faculdade de Ciências da Universidade de Lisboa;Centro Cultural de Belém, Lisboa;Euclid is a space mission designed to map the geometry of the dark Universe. Its primary objectives are the study of dark energy, dark matter, modified gravity and cosmic initial conditions. The Euclid Consortium is a European organization that brings together all laboratories contributing to the Euclid mission, beside ESA. It comprises more than 100 laboratories from 14 European countries and it also includes several US laboratories.;https://ciencias.ulisboa.pt/sites/default/files/Ciencias_Logo_Azul-02.png;https://ciencias.ulisboa.pt/pt/evento/30-05-2016/euclid-consortium-meeting-2016-mapping-geometry-dark-universe;30/05/2016;03/06/2016;09:30;20:00;Astronomia, Matemática, Física;4
FCUL Rally Pro 2016;1;Faculdade de Ciências da Universidade de Lisboa;FCUL, Lisboa;"O FCUL Rally Pro é um concurso de programação dirigido aos alunos do secundário, visando promover a prática e o gosto pela programação.

O concurso está organizado como um rally: a resolução de um problema fornece pistas para o próximo problema! Iremos utilizar o Blockly, um editor visual que é executado através do browser. O Blockly foi criado para o ensino da programação e é um projeto gratuito da Google. 

As inscrições decorrem até dia 25 de maio de 2016.
";https://ciencias.ulisboa.pt/sites/default/files/styles/destaque/public/destaque-fcul-rally-pro-2016.jpg?itok=dkErAHOq;https://ciencias.ulisboa.pt/pt/evento/01-06-2016/fcul-rally-pro-2016;01/06/2016;01/06/2016;08:00;12:00;Informática;3
Equilibrium and Euler-Lagrange equation for hyperelastic materials;0;Faculdade de Ciências da Universidade de Lisboa;Sala 6.2.33, FCUL;"Elvira Zappale
Universidade de Salerno

Abstract: By means of duality we prove existence and uniqueness of equilibrium for energies described by integral functionals which fail to be convex. This analysis is motivated by some physical models of elastic materials (cf. for istance [2, 4]) and the techniques generalize the methods first introduced in [5, 1]. A suitable Euler Lagrange equation characterizing the minimizers is derived.

Joint work with G. Carita and G. Pisante";https://ciencias.ulisboa.pt/sites/default/files/Ciencias_Logo_Azul-02.png;https://ciencias.ulisboa.pt/pt/evento/02-06-2016/equilibrium-and-euler-lagrange-equation-hyperelastic-materials;02/06/2016;02/06/2016;13:30;14:30;Física, Matemática;4
Deep eutectic solvents (DES): Preparation, structure and physico-chemical properties;0;Faculdade de Ciências da Universidade de Lisboa;Sala 8.2.38, FCUL;Sustainable technologies applied to energy-related applications should develop a pivotal role in the next decades. In particular, carbon dioxide capture from flue gases emitted by fossil-fueled power plants should play a pivotal role in controlling and reducing the greenhouse effect. Therefore, the development of new materials for carbon capture purposes has merged as central research line, for which many alternatives have been proposed. Ionic liquids (ILs) have emerged as one of the most promising choices for carbon capture, but in spite of their promising properties, some serious drawbacks have also appeared. Deep eutectic solvents (DESs) have recently been considered as alternatives to ILs that maintain most of their relevant properties, such as task-specific character, and at the same time avoid some of their problems, mainly from economic and environmental viewpoints. DES production from low-cost and natural sources, together with their almost null toxicity and total biodegradability, makes these solvents a suitable platform for developing gas separation agents within the green chemistry framework. Therefore, because of the promising characteristics of DESs as CO2 absorbents and in general as gas separating agents, the state of the art on physicochemical properties of DESs in relationship to their influence on gas separation mechanisms and on the studies of gas solubility in DESs are discussed. The objective of this review work is to analyze the current knowledge on gas separation using DESs, comparing the capturing abilities and properties of DESs with those of ILs, inferring the weaknesses and strengths of DESs, and proposing future research directions on this subject.;https://ciencias.ulisboa.pt/sites/default/files/fcul/eventos/cqb-02jun16.PNG;https://ciencias.ulisboa.pt/pt/evento/02-06-2016/deep-eutectic-solvents-des-preparation-structure-and-physico-chemical-properties;02/06/2016;02/06/2016;10:30;11:30;Química;4
Provas de Agregação em História e Filosofia das Ciências;0;Faculdade de Ciências da Universidade de Lisboa;Sala 6.2.56, FCUL;As provas, requeridas por Ricardo José Lopes Coelho, decorrem nos dias 06 e 07 de junho de 2016.;https://ciencias.ulisboa.pt/sites/default/files/Ciencias_Logo_Azul-02.png;https://ciencias.ulisboa.pt/pt/evento/06-06-2016/provas-de-agrega%C3%A7%C3%A3o-em-hist%C3%B3ria-e-filosofia-das-ci%C3%AAncias;06/06/2016;07/06/2016;14:30;15:30;;4
Iberian Meeting on Algebraic Analysis;1;Faculdade de Ciências da Universidade de Lisboa;Sala 6.2.33, FCUL;As INESC-ID Distinguished Lecture Series tiveram início em 2012, tendo como objetivo promover seminários de alta qualidade nas áreas centrais do laboratório, convidando cientistas, académicos e profissionais a partilharem a sua visão e apresentar o seu trabalho inovador, incentivando a interação e promovendo a discussão e troca de ideias entre os oradores convidados e os investigadores do laboratório.;https://ciencias.ulisboa.pt/sites/default/files/fcul/eventos/iberian-meeting-algebraic-analysis.jpg;https://ciencias.ulisboa.pt/pt/evento/08-06-2016/iberian-meeting-algebraic-analysis;08/06/2016;10/06/2016;09:30;18:20;Matemática;4
Escola de Verão de Energia;1;Faculdade de Ciências da Universidade de Lisboa;"FCUL, Lisboa
";Imagina que era possível experimentar um curso universitário antes de concorreres ao ensino superior?;https://ciencias.ulisboa.pt/sites/default/files/styles/destaque/public/destaque-escola-verao-energia-v2.jpg?itok=pwKs4XnO;https://ciencias.ulisboa.pt/pt/evento/27-06-2016/escola-de-ver%C3%A3o-de-energia;27/06/2016;01/07/2016;10:00;16:00;;3
Do Planeta para a sala de aula: viagem do laboratório ao campo;1;Faculdade de Ciências da Universidade de Lisboa;FCUL, Lisboa;Candidaturas online de 16 a 30 de maio de 2016.;https://ciencias.ulisboa.pt/sites/default/files/styles/destaque/public/destaque-acoes-formacao-geologia-jun-2016.jpg?itok=Umc36FdT;https://ciencias.ulisboa.pt/pt/evento/28-06-2016/do-planeta-para-sala-de-aula-viagem-do-laborat%C3%B3rio-ao-campo;28/06/2016;01/07/2016;08:00;18:00; ;5
Practical Course on Phylogeography;1;Faculdade de Ciências da Universidade de Lisboa;FCUL, Lisboa;"No seguimento de anteriores iniciativas, o Centro de Ecologia, Evolução e Alterações Ambientais (cE3c) está a organizar diversos Cursos Avançados para oferta no ano letivo 2015/2016.

Chamamos a atenção para a relevância destes cursos na formação avançada dos estudantes a realizar o 1.º ano dos programas doutorais em Biologia (FCUL), Biodiversidade, Genética e Evolução (BIODIV; ULisboa e UP), e Biologia e Ecologia das Alterações Globais (BEAG; ULisboa e UA), para os quais eles são gratuitos. Estes Cursos poderão ainda ser frequentados por estudantes pós-graduados inscritos noutros programas doutorais ou mestrados na área da Biologia, ou outros interessados com formação básica adequada (e.g. 1.º ciclo em Biologia ou áreas afins).

Os cursos têm em geral formato intensivo, com duração de uma semana, sendo reconhecidos para o 1.º ano dos programas doutorais de estudantes da Faculdade de Ciências da Universidade de Lisboa (FCUL; 5-6 ECTs).
";https://ciencias.ulisboa.pt/sites/default/files/Ciencias_Logo_Azul-02.png;https://ciencias.ulisboa.pt/pt/evento/04-07-2016/practical-course-phylogeography;11/06/2016;11/06/2016;09:00;17:30;Biologia, Genética;5
Portugal Solar Challenge;1;Faculdade de Ciências da Universidade de Lisboa;Edifício C6, FCUL;"O Portugal Solar Challenge é um evento único que consiste numa corrida de veículos elétricos movidos exclusivamente a energia solar e tem como objetivo específico promover, entre todos os jovens participantes, soluções de mobilidade sustentável, em particular veículos solares de baixo custo.

Inscrições até 31 de maio de 2016, através de envio de e-mail para psc2016fcul@gmail.com e para solar@fc.ul.pt, incluindo nome da equipa, nome do coordenador, e-mail e número de telemóvel.

A corrida será no dia 9/7/2016, a partir das 8h30. O dia começa com as verificações técnicas e reconhecimento da pista (até às 10h00), feitas na zona do paddock. Às 10h00 inicia-se a ronda de qualificação, em sistema de “match-racing” com dois ou três carros em pista em cada corrida. Cada equipa fará várias corridas na fase de qualificação. De seguida disputam-se a semi-finais (duas mangas cada). Prevê-se que o evento termine às 14h00. A final será à melhor de três corridas.

";https://ciencias.ulisboa.pt/sites/default/files/styles/destaque/public/destaque-portugal-solar-challenge-2016.jpg?itok=NFZGlmiW;https://ciencias.ulisboa.pt/pt/evento/09-07-2016/portugal-solar-challenge-2016;09/07/2016;09/07/2016;08:30;14:00; ;2
Lichens as a tool for interpretation of environmental changes;1;Faculdade de Ciências da Universidade de Lisboa;FCUL, Lisboa;"No seguimento de anteriores iniciativas, o Centro de Ecologia, Evolução e Alterações Ambientais (cE3c) está a organizar diversos Cursos Avançados para oferta no ano letivo 2015/2016.

Chamamos a atenção para a relevância destes cursos na formação avançada dos estudantes a realizar o 1.º ano dos programas doutorais em Biologia (FCUL), Biodiversidade, Genética e Evolução (BIODIV; ULisboa e UP), e Biologia e Ecologia das Alterações Globais (BEAG; ULisboa e UA), para os quais eles são gratuitos. Estes Cursos poderão ainda ser frequentados por estudantes pós-graduados inscritos noutros programas doutorais ou mestrados na área da Biologia, ou outros interessados com formação básica adequada (e.g. 1.º ciclo em Biologia ou áreas afins).

Os cursos têm em geral formato intensivo, com duração de uma semana, sendo reconhecidos para o 1.º ano dos programas doutorais de estudantes da Faculdade de Ciências da Universidade de Lisboa (FCUL; 5-6 ECTs).
";https://ciencias.ulisboa.pt/sites/default/files/Ciencias_Logo_Azul-02.png;https://ciencias.ulisboa.pt/pt/evento/11-07-2016/lichens-tool-interpretation-environmental-changes;11/07/2016;18/07/2016;09:00;17:30;Biologia, Genética;5
Ser Cientista 2016;1;Faculdade de Ciências da Universidade de Lisboa;FCUL, Lisboa;Entre os dias 18 e 22 de julho de 2016 decorrerá a 3.ª edição do programa 'Ser Cientista'.;https://ciencias.ulisboa.pt/sites/default/files/styles/destaque/public/destaque-ser-cientista-2016.jpg?itok=R4a7WcV9;https://ciencias.ulisboa.pt/pt/evento/18-07-2016/ser-cientista-2016;18/07/2016;22/07/2016;10:00;17:00; ;3
Semana do Mar;1;Pavilhão do Conhecimento;"Parque das Nações
Alameda dos Oceanos, Lote 2.10.01
1990-223 Lisboa";Vamos fazer experiências científicas sobre a biodiversidade marinha, a densidade da água, a pesca sustentável e a poluição, identificar espécies marinhas e provar caviar de algas. Durante esta semana entre no nosso Laboratório e descubra como se pode proteger contra a radiação UV, experimente gomas feitas com algas na Cozinha é um Laboratório e leve os miúdos ao Cantinho da Ciência, onde eles podem ser oceanógrafos durante umas horas.;http://www.pavconhecimento.pt/media/banners/1172_semana-do-mar-pav-interior.png;http://www.pavconhecimento.pt/visite-nos/programacao/detalhe.asp?id_obj=3855;08/06/2016;12/06/2016;11:30;17:15;Biologia, Física;1
Férias com Ciência;1;Pavilhão do Conhecimento;"Parque das Nações
Alameda dos Oceanos, Lote 2.10.01
1990-223 Lisboa";Astronauta por um dia, físico, matemático, geólogo, médico, biólogo. Este Verão, o seu filho vai poder ser tudo o que quiser no Pavilhão do Conhecimento. Nas Férias com Ciência vamos descobrir as profissões ligadas à ciência num programa cheio de actividades experimentais, desafios e muita animação. Treinar como um astronauta e desafiar as leis de Newton, aprender a programar, construir um sismógrafo, cultivar micróbios, aprender a combater vírus e bactérias, vestir a pele de um paleontólogo, identificar a dieta alimentar das aves de rapina e desvendar as provas forenses num cenário de crime são alguns dos desafios.;http://www.pavconhecimento.pt/media/media/2453_atl.jpg;http://www.pavconhecimento.pt/visite-nos/programacao/detalhe.asp?id_obj=3857;20/06/2016;09/07/2016;09:00;18:00;Física, Matemática, Biologia;1
